id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
12010514,Central Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/12010514,,25.5569083333,-100.264,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
12053963,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/12053963,,25.5421510618,-100.2715730667,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
12369757,Bogota,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/12369757,,25.5565738246,-100.2844905853,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
12385225,Central Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/12385225,,25.5498624,-100.270419,,,false,Small-eared Tree Frog,Rheohyla miotympanum,Calates,Amphibia,554652
12462072,Ekaterinburg,research,CC-BY-SA,https://www.inaturalist.org/observations/12462072,,25.6949996948,-100.3222198486,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
12535874,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/12535874,,25.5694232573,-100.2763090614,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
12993592,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/12993592,,25.6450854102,-100.2812021972,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
13004478,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/13004478,,25.5513216667,-100.227105,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
13133897,Central Time (US & Canada),research,,https://www.inaturalist.org/observations/13133897,,25.5601789634,-100.2498891602,,,true,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
13591759,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/13591759,,25.5516283333,-100.2257783333,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
