id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
265182382,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265182382,,25.6116707501,-100.2819029242,,,false,Chachalaca Oriental,Ortalis vetula,Chachalaca Oriental,Aves,2090
265228774,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265228774,,25.6063083669,-100.3358167112,,,true,Loro Cachetes Amarillos,Amazona autumnalis,Loro Cachetes Amarillos,Aves,18990
265228850,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265228850,,25.7899081105,-100.2538798779,,,true,Loro cabeza amarilla,Amazona oratrix,Loro cabeza amarilla,Aves,18998
265322866,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265322866,,25.6755722222,-100.2857361111,,,false,Great Kiskadee,Pitangus sulphuratus,Luis Bienteveo,Aves,16956
265469055,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265469055,https://static.inaturalist.org/sounds/1336315.m4a?1742078067,25.6172263,-100.2698116,,,false,Bienteveo Común,Pitangus sulphuratus,Luis Bienteveo,Aves,16956
265505644,Monterrey,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/265505644,,25.6173849722,-100.270414,,,false,Garza dedos dorados,Egretta thula,Garza dedos dorados,Aves,4940
265589041,Monterrey,research,,https://www.inaturalist.org/observations/265589041,,25.669045,-100.3654633333,,,false,Garza blanca,Ardea alba,Garza blanca,Aves,144455
265590088,Monterrey,research,,https://www.inaturalist.org/observations/265590088,,25.6721833333,-100.354875,,,false,Garza dedos dorados,Egretta thula,Garza dedos dorados,Aves,4940
265666916,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265666916,,25.549713,-100.2702529722,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
265844703,Monterrey,research,,https://www.inaturalist.org/observations/265844703,,25.7641143611,-100.3702163611,,,false,Colibrí pico ancho norteño,Cynanthus latirostris,Colibrí pico ancho norteño,Aves,6141
265900227,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265900227,https://static.inaturalist.org/sounds/1339966.m4a?1742345823,25.7121796039,-100.3588711982,,,false,Mirlo Café,Turdus grayi,Mirlo Café,Aves,12720
265917631,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265917631,,25.7394746,-100.3546922,,,false,Cuitlacoche pico curvo,Toxostoma curvirostre,Cuitlacoche pico curvo,Aves,14912
265920888,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265920888,,25.6709635618,-100.2981960028,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
265920906,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265920906,,25.6709964997,-100.2981916443,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
265933684,Monterrey,research,,https://www.inaturalist.org/observations/265933684,,25.6501888898,-100.2881614937,,,false,Wood Duck,Aix sponsa,Pato Arcoíris,Aves,7107
266013438,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266013438,,25.6771195803,-100.2852441205,,,false,Vireo gorra negra,Vireo atricapilla,Vireo gorra negra,Aves,73557
266013439,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266013439,,25.6769803883,-100.2850369606,,,false,Chipe Oliváceo,Leiothlypis celata,Chipe Oliváceo,Aves,979757
266018769,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266018769,,25.650545,-100.2891916667,,,false,Pato Arcoíris,Aix sponsa,Pato Arcoíris,Aves,7107
266031043,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266031043,,25.7008773554,-100.3738533839,,,true,Perico Mexicano,Psittacara holochlorus,Perico Mexicano,Aves,979922
266032123,Monterrey,research,,https://www.inaturalist.org/observations/266032123,,25.5493231985,-100.2707180497,,,false,Chipe de Townsend,Setophaga townsendi,Chipe de Townsend,Aves,145255
266032424,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266032424,,25.6823952529,-100.340649084,,,true,Loro Cachetes Amarillos,Amazona autumnalis,Loro Cachetes Amarillos,Aves,18990
266032851,Monterrey,research,,https://www.inaturalist.org/observations/266032851,,25.5483987826,-100.2708253381,,,false,Carbonero cresta negra,Baeolophus atricristatus,Carbonero cresta negra,Aves,13631
266033971,Monterrey,research,,https://www.inaturalist.org/observations/266033971,,25.5492360811,-100.270503473,,,false,Corthylio calendula,Corthylio calendula,Reyezuelo Matraquita,Aves,1289388
266036398,Monterrey,research,,https://www.inaturalist.org/observations/266036398,,25.5498943,-100.2704391,,,false,Chipe Gorra Canela Común,Basileuterus rufifrons,Chipe Gorra Canela Común,Aves,10045
266037048,Monterrey,research,,https://www.inaturalist.org/observations/266037048,,25.5482681055,-100.2708575246,,,false,Reyezuelo Matraquita,Corthylio calendula,Reyezuelo Matraquita,Aves,1289388
266056571,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266056571,,25.671873,-100.2753814997,,,false,Tecolote bajeño,Glaucidium brasilianum,Tecolote bajeño,Aves,19822
266149910,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266149910,,25.6490283333,-100.29055,,,false,Zanate mayor,Quiscalus mexicanus,Zanate mayor,Aves,9607
266159589,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266159589,,25.6790763018,-100.2843316644,,,false,Colibrí cabeza roja,Calypte anna,Colibrí cabeza roja,Aves,6317
266161950,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266161950,,25.678125392,-100.2892977744,,,false,Gavilán de Cooper,Astur cooperii,Gavilán de Cooper,Aves,1579017
266162882,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266162882,,25.5498944379,-100.2704391629,,,false,Chipe de Townsend,Setophaga townsendi,Chipe de Townsend,Aves,145255
266162965,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266162965,,25.6822725359,-100.2831263468,,,false,Luisito Común,Myiozetetes similis,Luisito Común,Aves,16842
266169333,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/266169333,,25.6770261551,-100.2853692261,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
266169975,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/266169975,,25.6801642333,-100.2804192876,,,false,Gallareta americana,Fulica americana,Gallareta americana,Aves,473
266169976,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/266169976,,25.6802188016,-100.2803233934,,,false,Pato pico anillado,Aythya collaris,Pato pico anillado,Aves,7044
266169980,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/266169980,,25.6800703183,-100.2795305303,,,false,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Pijije Alas Blancas,Aves,6893
266172558,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266172558,,25.581990364,-100.2644329121,,,false,Red-tailed Hawk,Buteo jamaicensis,Aguililla cola roja,Aves,5212
266181117,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266181117,,25.6761286683,-100.284971036,,,false,Carpintero Moteado,Sphyrapicus varius,Carpintero Moteado,Aves,18463
266181238,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266181238,,25.5498944379,-100.2704391629,,,false,Picogordo tigrillo,Pheucticus melanocephalus,Picogordo tigrillo,Aves,10274
266450404,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/266450404,,25.5411116667,-100.2718883333,,,false,Chipe Gorra Canela Común,Basileuterus rufifrons,Chipe Gorra Canela Común,Aves,10045
266613375,Monterrey,research,,https://www.inaturalist.org/observations/266613375,,25.5983073997,-100.3356526,,,false,Reyezuelo Matraquita,Corthylio calendula,Reyezuelo Matraquita,Aves,1289388
266614438,Monterrey,research,,https://www.inaturalist.org/observations/266614438,,25.5983040997,-100.3356438997,,,false,Chipe Oliváceo,Leiothlypis celata,Chipe Oliváceo,Aves,979757
266635873,Monterrey,research,,https://www.inaturalist.org/observations/266635873,,25.5984883333,-100.3353583333,,,false,Chara pecho gris,Aphelocoma wollweberi,Chara pecho gris,Aves,144207
266664802,Monterrey,research,,https://www.inaturalist.org/observations/266664802,,25.6505882558,-100.2886492432,,,false,Cooper's Hawk,Astur cooperii,Gavilán de Cooper,Aves,1579017
266664805,Monterrey,research,,https://www.inaturalist.org/observations/266664805,,25.6505831634,-100.2886578265,,,false,Blue-headed Vireo,Vireo solitarius,Vireo anteojillo,Aves,17402
266664806,Monterrey,research,,https://www.inaturalist.org/observations/266664806,,25.6510788737,-100.2896273338,,,false,Black-crested Titmouse,Baeolophus atricristatus,Carbonero cresta negra,Aves,13631
266664809,Monterrey,research,,https://www.inaturalist.org/observations/266664809,,25.6510539973,-100.2895429644,,,false,Nashville Warbler,Leiothlypis ruficapilla,Chipe Cabeza Gris,Aves,979753
266664813,Monterrey,research,,https://www.inaturalist.org/observations/266664813,,25.6511004204,-100.2894120726,,,false,Orange-crowned Warbler,Leiothlypis celata,Chipe Oliváceo,Aves,979757
266670172,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266670172,,25.7774358397,-100.3968501711,,,true,Domestic Muscovy Duck,Cairina moschata domestica,Pato real doméstico,Aves,204094
266674883,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266674883,,25.6011616667,-100.2714916667,,,false,Zanate mexicano,Quiscalus mexicanus,Zanate mayor,Aves,9607
266675127,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/266675127,,25.6014633333,-100.2717533333,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
